Area,Province,行政区域面积,乡,镇,街道办事处,户籍人口,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,地方一般公共预算收入,地方一般公共预算支出,住户储蓄存款余额,年末金融机构各项贷款余额,设施农业种植占地面积,油料产量,棉花产量,规模以上工业企业,固定电话用户,普通中学在校学生,小学在校学生,医疗卫生机构床位,提供住宿的社会工作机构,提供住宿的社会工作机构床位
Unit,省份,平方公里,个,个,个,人,万元,万元,万元,万元,万元,万元,万元,万元,公顷,吨,吨,个,户,人,人,床,个,床
Remark,
林周县,云南省、西藏自治区,4464,9,1,,65179,153500,36000,52700,64800,25661,173411,49625,133216,85,2404,,1,360,1992,4593,65,1,248,,
清水河县,内蒙古自治区,2818,4,4,,139297,658900,68700,288500,301700,47125,173873,485347,320541,3650,1371,,19,4716,4118,4939,386,3,312,,
武川县,内蒙古自治区,4683,6,3,,167023,512000,92400,131000,288600,25266,181852,518892,595036,509,74561,,16,3347,3790,3790,428,4,864,,
土默特右旗,内蒙古自治区,2368,3,5,,352741,1649397,418505,499013,731880,70293,224812,1118084,1077699,238,25961,,37,6125,6902,12665,883,11,430,,
固阳县,内蒙古自治区,5025,,6,,197112,634946,149283,296029,189633,40026,220044,483172,608771,26,65306,,38,3028,3730,4805,614,32,1610,,
达尔罕茂明安联合旗,内蒙古自治区,17410,5,7,,109520,916119,158733,485225,272161,59043,211642,386290,339897,2,29776,,55,2402,1270,2591,614,6,648,,
阿鲁科尔沁旗,内蒙古自治区,14555,7,7,,288762,920752,228444,219986,472322,34745,347649,803608,903788,793,26240,,8,8300,12059,13661,1852,6,546,,
巴林左旗,内蒙古自治区,6464,4,7,,336449,1242130,271509,399720,570901,41318,375056,911177,1070320,4968,6195,,14,13200,18946,17490,2043,24,1902,,
巴林右旗,内蒙古自治区,9837,4,5,,180717,589729,141787,139407,308535,55430,305500,570169,816456,135,39592,,8,4712,7623,9719,917,9,352,,
林西县,内蒙古自治区,3933,2,7,2,225986,827532,153400,278872,395260,40555,315699,788052,681484,3340,12714,,17,7000,7486,9843,1232,29,898,,
克什克腾旗,内蒙古自治区,20673,6,7,,243872,1243573,226437,618235,398901,63180,360923,729194,780104,334,2008,,31,4389,7186,9976,1491,12,898,,
翁牛特旗,内蒙古自治区,11882,6,8,,470354,1439428,510924,295269,633235,45712,470123,1162663,1018835,612,46680,,19,7186,15597,21857,1671,10,652,,
喀喇沁旗,内蒙古自治区,3050,2,7,,342709,872153,160266,302650,409238,46965,304116,1151819,884720,4000,2238,,16,12820,14848,16933,1246,13,1348,,
宁城县,内蒙古自治区,4305,2,13,,602076,1562119,438747,349070,774302,55748,500759,2058201,1440478,13671,1296,,23,56000,18108,36556,4105,20,1347,,
敖汉旗,内蒙古自治区,8294,5,11,,597791,1465699,512579,273821,679300,42327,488439,1548000,972389,2068,11537,,20,120101,24751,30930,3316,30,1095,,
