序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
128,河北大学,19.01 ,,河北省,河北省
129,广西师范大学,18.79 ,,广西壮族自治区,广西壮族自治区
130,上海师范大学（本级）,18.72 ,,上海市,上海市
131,绍兴文理学院,18.72 ,,浙江省,浙江省
132,中南民族大学,18.71 ,,国家民委,湖北省
133,四川农业大学,18.47 ,双一流,四川省,四川省
134,西北民族大学,18.35 ,,国家民委,甘肃省
135,山东第一医科大学（本级）,18.21 ,,山东省,山东省
136,南京医科大学（本部）,18.00 ,双一流,江苏省,江苏省
137,燕山大学,17.80 ,,河北省,河北省
138,温州医科大学,17.68 ,,浙江省,浙江省
139,太原理工大学,17.36 ,双一流,山西省,山西省
140,青岛科技大学,17.25 ,,山东省,山东省
141,南方医科大学,17.05 ,,广东省,广东省
142,山东师范大学,17.03 ,,山东省,山东省
143,浙江工商大学,17.01 ,,浙江省,浙江省
144,福建农林大学,16.96 ,,福建省,福建省
145,天津师范大学,16.94 ,,天津市,天津市
146,广州医科大学（本级）,16.89 ,双一流,广东省,广东省
147,内蒙古农业大学,16.79 ,,内蒙古自治区,内蒙古自治区
148,山东农业大学,16.67 ,,山东省,山东省
149,重庆医科大学,16.42 ,,重庆市,重庆市
150,北京联合大学,16.29 ,,北京市,北京市
151,山东理工大学,16.27 ,,山东省,山东省
152,中国计量大学,16.22 ,,浙江省,浙江省
153,桂林理工大学,16.05 ,,广西壮族自治区,广西壮族自治区
154,上海外国语大学,16.00 ,双一流,教育部,上海市
155,重庆师范大学,15.92 ,,重庆市,重庆市
156,上海科技大学,15.88 ,双一流,上海市 中国科学院,上海市
157,江西理工大学,15.81 ,,江西省,江西省
158,北京工商大学,15.80 ,,北京市,北京市
159,江汉大学（本级）,15.70 ,,湖北省,湖北省
160,成都理工大学,15.66 ,双一流,四川省,四川省
161,四川师范大学,15.63 ,,四川省,四川省
162,广东海洋大学,15.46 ,,广东省,广东省
163,烟台大学,15.08 ,,山东省,山东省
164,福建师范大学,15.03 ,,福建省,福建省
165,山西农业大学,15.02 ,,山西省,山西省
166,济南大学,15.00 ,,山东省,山东省
167,九江学院,14.98 ,,江西省,江西省
168,湖南师范大学,14.87 ,双一流,湖南省,湖南省
169,华北理工大学,14.72 ,,河北省,河北省
170,南京邮电大学,14.71 ,双一流,江苏省,江苏省
171,浙江农林大学,14.46 ,,浙江省,浙江省
172,鲁东大学,14.45 ,,山东省,山东省
